venueid|userid|score|time|comment
1|1|5.0|0.6|ผมเคยสงสัยว่าเสน่ห์ของเมืองไทยมันอยู่ตรงไหน คนถึงมาที่เดิมๆ ซ้ำๆ ได้โดยไม่เบื่อ อาจจะเป็นเพราะความไม่สมบูรณ์ ความสมบูรณ์ ความสงบ ความวุ่นวาย ความเลิศเลอ ความโหลยโทย ผมไม่เคยไปต่างประเทศ แบบเมืองศิวิไลซ์ ต่างๆ …
1|2|5.0|0.1|สถานท่องที่ริมฝั่งโขง ต้องหาที่จอดรถก่อนที่จะต้องเดินเข้าไป ตลาดวายตอนช่วงเย็น แต่ จะปรับเป็นร้านค้าอาหารเครื่องดื่มในเวลาพลับค่ำนั่งริมฝั่งโขง โดยตอนช่วงเย็นๆมีคนมาออกกำลังกายบริเวณลานริมฝั่งโขงมากมาย
1|3|5.0|0.1|ได้เดินตลาด ซื้อของกิน เครื่องดื่มเดินเลยไปหน่อยก็ได้ไหว้พระ อิ่มตาอิ่มใจออกกำลังกาย ฯลฯ อากาศดีฝุดๆ ดูสายน้ำไหลผ่านอย่างดูดดื่มในแม่น้ำโขงมองเท่าไหร่ก็ไม่เบื่อ
1|4|4.0|0.1|เดินซื้อของ  หลายอย่างก็แพง หลายอย่างก็ถูก  แนะนำครับหาสินค้าคุณภาพ  ไม่เหมือนใคร  ไม่อย่างนั้น คนจะเริ่มเบื่อ  ได้ที่dip  กาแฟ  ผ้าขะม้า  ไทยเที่ยวไทย  อุดหนุนสินค้า เดินเหนื่อยมานั้งพัก ร้านเครื่องดื่มคุณแหม่ม  นั้งมองวิวแม่น้ำโขง  ราคาชาวบ้าน
1|5|5.0|0.1|น่ามาเที่ยว ชมวิวริมโขงและมีตลาดให้เดินเล่น หิวก็แวะเข้าร้านแดงแหนมเนืองครับ
1|6|3.0|0.6|ร้านค้าปิดไปหลายแห่ง ของขายส่วนใหญ่เหมือนตลาดนัด แต่ราคาค่อนข้างสูง มีแค่ร้านขายของกินที่ยังพอมีลูกค้า น่าเห็นใจพ่อค้าแม่ค้า
1|7|4.0|0.3|ตลาดยังมีของขายปกติ วันธรรมดาเงียบมาก ร้านอาหาร กาแฟ ยังเปิดบริการอยู่
1|8|5.0|0.5|มีโครงการเราเที่ยวด้วยกัน ตลาดท่าเสด็จก็เป็นหนึ่งที่มาจับจ่ายใช้สอย ในโครงการ แวะถ่ายรูปกันไป
1|9|3.0|0.3|ตามรีวิวมาเพื่อถ่ายรูปตึกโบราณ แต่แปลก ด้านในตลาดไม่มีเลย🤣 ต้องขับออกมาด้านนอกถึงจะเริ่มเห็นบางส่วน ไม่ได้มีเยอะ ร้านค้าก็ปิดไปหลายร้าน ไม่มีที่จอดรถ
1|10|4.0|0.3|อีกสถานที่ท่องเที่ยว ที่ควรพาครอบครัวมาสักครั้ง  สัมผัสบรรยากาศริมโขง พร้อมจุดชมวิวหลากหลาย เรียนรู้วิถีชีวิตและวัฒนธรรมสองฝั่ง
1|11|5.0|0.3|"😍อากาศดี บรรยากาศโอเครๆๆดี ช่วงนี้อาจบางตา
ลุ่มน้ำโขง น้ำเต็มพื้นที่ แต่ความเป็นกลิ่นอายหนองคายเต็มไปด้วย ความอบอุ่นและอเมซิ่ง💚...นั่งชิวล่องเรือ ทานมื้อกลางวัน สบายๆๆๆ💚💚🤩🤟👌👍🤙💋💞💕"
1|12|5.0|0.4|"ร้านมารวยพอดี ร้านเจ ตลาดท่าเสด็จ หนองคาย
เปิด 6.30-17.00 น. ทุกวัน"
1|13|5.0|0.2|"ตลาดท่าเสด็จ หรือตลาดอินโดจีน
มีสินค้าชุมชน สินค้านำเข้า ขนมขบเคี้ยว ของฝากมากมาย  ใครมาหนองคายต้องมาที่นี่ งั้นจะมาไม่ถึงค่ะ😁"
1|14|5.0|0.9|ตลาดท่าเสด็จ หรือ ตลาดอินโดจีน เดิมชื่อ ตลาดท่าเรือ ตั้งอยู่ริมแม่น้ำโขง ในเขตเทศบาลเมืองหนองคาย เป็นแหล่งรวมสินค้าและเป็นแหล่งซื้อขายผลิตภัณฑ์จังหวัดหนองคาย เช่น อาหารพื้นเมือง สินค้าโอท๊อป ของที่ระลึก และของเครื่องใช้ต่างๆมากมาย …
1|15|4.0|0.8|ของขายเพียบแต่ก็ยังมีอีกหลายร้านที่ยังไม่เปิด ช่วงนี้คนไม่เยอะเท่าไหร่ อยากให้มาเที่ยวกัน พ่อค้า แม่ค้าที่นี้จะได้ใจชื้น มีกำลังใจเปิดร้านต่อ สู้ๆนะครับ :)
1|16|4.0|0.1|บรรยากาศริมน้ำโขง เขตชายแดนไทย-ลาว(เวียงจันทร์)
1|17|5.0|1.0|ตลาดท่าเสด็จ หรือ ตลาดอินโดจีน เดิมชื่อ ตลาดท่าเรือ เพราะก่อนที่จะมีการสร้างสะพานมิตรภาพ ไทย-ลาว ประชาชนทั้งสองฝั่งน้ำ จะต้องใช้เรือในการสัญจรไปมา ทำการค้าระหว่างชายแดนกันอย่างคึกคัก …
1|18|5.0|0.2|ช่วงนี้เริ่มมีนักท่องเที่ยว แล้วก็นักซื้อของบรรยากาศ ที่มีแม่ค้าเริ่มคึกคักขึ้น
1|19|5.0|0.3|"เป็นที่ๆน่าเที่ยวมีร้านอาหารมีตลาด
ต้องลองเดินชมครับ"
1|20|5.0|0.3|เป็นตลาด ร้านค้าริมฝั่งโขง มีถนนคนเดิน
1|21|4.0|0.2|ในตลาดคนไม่เยอะมาก เดินซื้อของได้สบาย  ทางเดินริมโขงมีพื้นที่ให้ถ่ายรูปสวยๆด้วย ชอบค่ะ
1|22|4.0|0.1|"ภายในตลาดนี่มีทั้งตึกเก่าเดิม ตึกใหม่ผสมกันไป
มีบางมุมที่เป็นบ้านเก่าถ่ายรูปสวยๆได้ครับ"
1|23|5.0|0.1|ของขายเยอะดี มีหลายอย่าง ร้านค้าก็เยอะ
1|24|5.0|0.4|เดินช้อปพักกินอร่อยมีให้เลือกกลาย
1|25|3.0|0.2|คนยังเที่ยวชมไม่เยอะนะครับ..
1|26|5.0|1.0|เป็นสถานที่ที่มีประวัติศาสตร์ ชอบเดินดูรูปเก่าๆ ที่ติดอยู่ตรงผนัง วิวดี บรรยากาศดี มีของขายบ้างเล็กน้อย อากาศตอนกลางวันค่อนข้างร้อนช่วงนี้ แต่ที่จอดรถหาค่อนข้างยาก ต้องจอดบริเวณรอบๆ แล้วเดินเท้าเข้ามา ข้างล่างมีแพร้านอาหาร มีคุณลุงจะมาคอยเชื้อเชิญให้ลงไปใช้บริการอยู่เป็นพักๆ ไว้โอกาสหน้าจะลองลงไปทานนะครับคุณลุง
1|27|5.0|1.0|แนะนำบรรยากาศดีมากนั่งจิบกาแฟแลน้ำโข่งฟินๆกันไป.... ร้านนี้ต้องลองอเมริกาโน่น้ำผึ้ง
1|28|5.0|0.9|ร้านกาแฟ นั่งสบายพร้อมชมบรรยากาศริมแม่น้ำโขง
1|29|3.0|0.2|ตลาด สินค้าค่อนข้างแพง หรือ ราคาหาซื้อได้ทั่วไป วิวแม่น้ำโขงสวย ร้านอาหารแพด้านล่างรถสชาติ ธรรมมาดา ราคา ทั่วไป
1|30|5.0|0.2|ของเยอะดี ติดแม่น้ำโขง สวยมาก
1|31|3.0|0.2|เงียบเหงามาก..สินค้าคล้ายๆกัน..ไม่มีอะไรน่าสนใจ..รวมทั้งร้านอาหารริมแม่น้ำโขง..อาหารไม่ผ่าน..ต้องปรับปรุง..สมัยก่อนดีเยี่ยม..เดี๋ยวนี้ไม่มีอะไน่าชมนอกจากแม่น้ำโขง..
1|32|5.0|1.0|"Land mark ใหม่ของท่าเสด็จ
ไม่ได้มานานแล้ว ดูแปลกตามาก
หนึ่งในนั้นคือ หอคอยจุดชมวิวใหม่ริมโขง …"
1|33|5.0|1.0|สินค้าหลากหลาย ราคาเหมาะสม ตลาดฝั่งริมโขงบรรยากาศดี ตบแต่งสวย ทำซุ้มให้ถ่ายรูปหลายจุด ทิวทัศน์ แม่น้ำโขง ทำเป็นลานโล่งสุดสายตา ซื้อสินค้า นั่งทานกาแฟ ชมผู้คนผ่านไปมา ชอบครับ
1|34|5.0|0.1|ของดี ของถูก อาหารอร่อยมาก
