venueid|name|gcategory
1052|วัดพระศรีรัตนศาสดาราม (วัดพระแก้ว)|วัด
27502|สถานที่ตรัสรู้|วัด
54542|วัดนาหลวง (วัดอภิญญาเทสิตธรรม)|วัด
4603|ถ้ำนาคี นครพนม(Nakee Cave)|สถานที่ท่องเที่ยว
3025|ศูนย์ปฏิบัติธรรมสวนเวฬุวัน|วัด
8810|วัดพระเชตุพนวิมลมังคลาราม (วัดโพธิ์)|วัด
3742|วัดพุทธนิมิตร (วัดภูค่าว)|วัด
396|วัดพระธาตุพนมวรมหาวิหาร|วัด
20022|เจดีย์ชเวดากอง|เจดีย์
4600|ศาลปู่อือลือนาคราช|สถานที่ประกอบพิธีกรรมทางศาสนา
8828|สวนโมกข์กรุงเทพ|องค์กรไม่แสวงผลกำไร
45856|วัดศรีสวาย|สถานที่สำคัญทางประวัติศาสตร์
54814|วัดเขาถ้ำบุญนาค|วัด
315|วัดพระธาตุดอยสุเทพราชวรวิหาร|วัด
6061|วัดป่าบ้านตาด (วัดเกษรศีลคุณ) หลวงตามหาบัว|วัด
4234|วัดผาลาด (สกิทาคามี)|วัด
9955|พิพิธภัณฑ์ศิลปะไทยร่วมสมัย|พิพิธภัณฑ์ศิลปะ
3918|วัดพระธาตุดอยตุง|วัด
18212|ศาลเจ้าพ่อเขาล้อมหมวก|ศูนย์จิตวิญญาณ
45948|บูรพาจารย์เจดีย์ วัดป่าสาลวัน|พิพิธภัณฑ์
16937|วัดปทุมวนาราม ราชวรวิหาร|วัด
14772|ศาลหลักเมืองกรุงเทพมหานคร|ศาลหลักเมือง
36196|นครวัด|วัด
44412|วัดสวนโมกขพลาราม|วัด
3541|วัดพระศรีรัตนมหาธาตุวรมหาวิหาร(วัดใหญ่)|วัด
5629|ศูนย์บริการโลหิตแห่งชาติ สภากาชาดไทย|ศูนย์รับบริจาคโลหิต
7989|วัดดอนธาตุ|วัด
24439|Tian Tan Buddha|อนุสาวรีย์
3548|วัดเด่นสะหลีศรีเมืองแกน (วัดบ้านเด่น)​|วัด
14660|วัดฝอกวงซัน|องค์กรทางศาสนา
94028|วัดป่าแก้งใหม่|วัด
13980|Nui motorcycle and bicycle for rent (รถจักรยานยนต์ และ จักรยานสำหรับเช่า)|ร้านเช่ารถจักรยานยนต์
39401|วัดราชสิทธารามราชวรวิหาร (วัดพลับ)|วัด
10776|วัดปัญญานันทาราม|วัด
30331|วัดมหาธาตุ สุโขทัย|สถานที่สำคัญทางประวัติศาสตร์
4861|อาคารพิพิธภัณฑ์อัฐบริขารหลวงตามหาบัว ญาณสัมปันโน|พิพิธภัณฑ์
22910|อ่าวมาหยา|อ่าว
3870|อุทยานแห่งชาติภูกระดึง|อุทยานแห่งชาติ
21941|นองปิง 360|สถานีกระเช้าลอยฟ้า
2978|พระสุธรรมะเจดีย์ (หลวงปู่เหรียญ)|เจดีย์
13350|จุดชมวิวภูทับเบิก|สถานที่ท่องเที่ยว
19344|พิพิธภัณฑสถานแห่งชาติพระนคร|พิพิธภัณฑ์
738|วัดจันทาราม(ท่าซุง)|วัด
14730|วัด​ราชนัดดารามวรวิหาร​ (โลหะปราสาท)|วัด
7795|วัดป่าวิเวกธรรม(เหล่างา) หลวงปู่บุญเพ็ง|วัด
13788|วัดบวรนิเวศราชวรวิหาร|วัด
28275|หมอกริมโขงรีสอร์ท|รีสอร์ท
38733|ศาลเจ้าแม่กวนอิมพันมือ อ่างศิลา ชลบุรี|สถานที่ประกอบพิธีกรรมทางศาสนา
42359|ลานเบิ่งเวียง|จุดชมวิว
14964|หินช้างสี|จุดชมวิว
25558|เขาหงอนนาค|สถานที่ท่องเที่ยว
38661|วัดปิปผลิวนาราม|วัด
304|วัดพระธาตุหริภุญชัย วรมหาวิหาร|วัด
289|วัดเขาบรรจบ|วัด
23391|วัดป่าภูริทัตตถิราวาส|สถานที่ประกอบพิธีกรรมทางศาสนา
4604|ถ้ำนาคา บึงกาฬ|สถานที่ท่องเที่ยว
11437|วัดท่าสองคร|วัด
6156|หอโหวด 101|สถานที่ท่องเที่ยว
13789|วัดราชาธิวาสวิหาร|วัด
9460|ท่าอากาศยานนานาชาติฮ่องกง|สนามบิน
2168|วัดพนัญเชิงวรวิหาร|วัด
2227|พระมหาธาตุเจดีย์ภักดีประกาศ|วัด
561|อนุสาวรีย์พญามังรายมหาราช|สถานที่สำคัญทางประวัติศาสตร์
29451|จันทร์ เดอ คาเฟ่|ร้านอาหาร
3810|ฐานปฏิบัติการทหารดอยช้างมูบ|สถานที่ท่องเที่ยว
20034|Buddha Tooth Relic Temple|วัด
54255|วัดหลวงขุนวิน|วัด
68274|ตลาดสดแวงใหญ่|ซูเปอร์มาร์เก็ต
51604|วัดเกยไชยเหนือ (วัดพระบรมธาตุ)|วัด
54861|พระราชวังเดิม (พระราชวังกรุงธนบุรี)|สถานที่สำคัญทางประวัติศาสตร์
24411|LE JaoJom Café Bistro​ & Bar|ร้านกาแฟ
15506|สระมุจลินท์ (บ่อน้ำศักดิ์สิทธิ์)|เทวสถาน
8859|ศรีตราด|ภัตตาคารอาหารไทย
37341|วัดถ้ำฮ้าน|วัด
63892|วัดคุณาราม (พระวิหารหลวงพ่อแเดง)|วัด
90092|บ้านสวนมาสสาจ Baan Suan Massage (Nongkhai)|นวดแผนไทย
69207|Cha Rhoo ชานมไข่มุก|ชาไข่มุก
847|GONG VALLEY ECO FRIENDLY|ที่พักแรมในอาคาร
3039|อร่อยเลย ร้านก๋วยเตี๋ยวเป็ดตุ๋น เรียม อำเภอภูกระดึง จังหวัดเลย|ร้านอาหารพร้อมรับประทาน
24866|วัดพะโคะ (หลวงปู่ทวดเหยียบน้ำทะเลจืด) อ.สทิงพระ สงขลา|วัด
11286|วัดช้างให้ราษฎร์บูรณาราม หลวงปู่ทวด ๑ หมู่ ๒ ต.ควนโนรี อ.โคกโพธิ์ จ.ปัตตานี ๙๔๑๘๐|สถานที่ประกอบพิธีกรรมทางศาสนา
21901|วัดกัสปมธุโรม บ้านถ่อน-หนองกก|วัด
29642|ทะเลอันดามัน|ทะเล
20726|ช้าง อินเตอร์เนชั่นแนล เซอร์กิต|สนามแข่งรถ
51126|ผาหล่มสัก|สถานที่ท่องเที่ยว
14652|วัดพิกุลทอง พระอารามหลวง (หลวงพ่อแพ)|วัด
782|วัดใหญ่ชัยมงคล|วัด
10828|น้ำตกห้วยแม่ขมิ้น|อุทยาน
10847|พระบรมรูปทรงม้า|อนุสาวรีย์
120|วัดพระมหาธาตุวรมหาวิหาร นครศรีธรรมราช|วัด
2987|วัดพระธาตุหนองบัว|วัด
14773|วัดสุทัศนเทพวรารามราชวรมหาวิหาร|วัด
4819|พระราชวังเคียงบก|สถานที่สำคัญทางวัฒนธรรม
55513|ป้าหยันร้านอาหารเพชรบุรี|ร้านอาหาร
8304|ก๋วยเตี๋ยวเรือ ป.ประทีป สาขาหนองประจักษ์|ร้านก๋วยเตี๋ยว
74431|inch & ounce|ร้านกาแฟ
34690|Thai French Bakery ไทย ฝรั่งเศส เบเกอรี่|ร้านเบเกอรี่
