venue_name|category_id|category_name|
พระธาตุหนองคาย หรือพระธาตุกลางน้ำ|1|วัด
อนุสาวรีย์ปราบฮ่อ|2|แลนด์มาร์กและอนุสรณ์สถาน
สะพานมิตรภาพไทย-ลาว แห่งที่ 1|2|แลนด์มาร์กและอนุสรณ์สถาน
ศูนย์วัฒนธรรมเฉลิมราชพิพิธภัณฑ์เมืองโพนพิสัย|3|ศิลปะวัฒนธรรมชุมชน
วัดโพธิ์ชัย|1|วัด
วัดผาตากเสื้อ|1|วัด
วัดหินหมากเป้ง|1|วัด
วัดถ้ำศรีมงคล (วัดถ้ำดินเพียง)|1|วัด
ศาลาแก้วกู่ (วัดแขก)|5|พิพิธภัณฑ์
วัดอรัญบรรพต พระสุธรรมเจดีย์|1|วัด
วัดไทย|1|วัด
ตลาดท่าเสด็จ|4|ตลาดแหล่งชุมชน
หมู่บ้านทำแผ่นกระยอ|3|ศิลปะวัฒนธรรมชุมชน
พิพิธภัณฑ์โคกคอน|5|พิพิธภัณฑ์
พระธาตุบังพวน|1|วัด
