venueid|userid|score|time
1|9|3.0|0.3
1|14|5.0|0.9
1|28|5.0|0.9
1|33|5.0|1.0
1|45|5.0|1.0
1|47|3.0|0.9
1|48|5.0|0.1
1|70|5.0|3.0
1|78|5.0|2.0
1|93|4.0|4.0
1|134|5.0|2.0
1|170|5.0|4.0
1|178|4.0|0.9
1|197|4.0|0.8
1|204|3.0|1.0
1|217|4.0|0.1
1|272|5.0|1.0
1|298|4.0|2.0
1|305|5.0|2.0
1|309|4.0|0.8
1|93|5.0|4.0
1|329|3.0|4.0
1|367|4.0|1.0
1|372|4.0|1.0
1|410|5.0|5.0
1|418|4.0|5.0
1|427|5.0|3.0
1|429|5.0|4.0
1|443|5.0|3.0
1|490|5.0|2.0
1|499|5.0|1.0
1|504|2.0|1.0
1|537|3.0|5.0
1|575|3.0|3.0
1|584|4.0|3.0
1|630|5.0|1.0
1|631|5.0|4.0
1|644|3.0|4.0
1|650|5.0|1.0
1|663|5.0|3.0
1|694|3.0|1.0
1|695|5.0|3.0
1|762|5.0|3.0
1|776|5.0|3.0
1|794|5.0|2.0
1|796|5.0|5.0
1|872|5.0|4.0
1|902|5.0|2.0
1|909|4.0|3.0
1|920|5.0|1.0
2|872|5.0|1.0
2|934|5.0|1.0
2|272|5.0|1.0
2|937|5.0|0.2
2|939|5.0|2.0
2|946|5.0|0.5
2|959|4.0|2.0
2|178|4.0|2.0
2|970|3.0|1.0
2|584|5.0|0.9
2|991|5.0|2.0
2|992|4.0|2.0
2|694|5.0|1.0
2|499|5.0|1.0
2|1002|4.0|1.0
2|537|3.0|0.3
2|1008|5.0|2.0
2|1018|3.0|2.0
2|1023|5.0|2.0
2|1027|3.0|1.0
2|1037|2.0|2.0
2|217|5.0|1.0
2|920|3.0|0.9
2|1070|5.0|2.0
2|134|5.0|2.0
2|1100|5.0|1.0
2|1107|5.0|2.0
2|1108|5.0|2.0
2|1179|3.0|1.0
2|1187|5.0|1.0
2|1207|5.0|2.0
2|1260|4.0|0.5
2|1300|5.0|1.0
2|1303|4.0|2.0
2|1304|4.0|2.0
2|1330|4.0|1.0
2|630|1.0|1.0
2|1357|4.0|1.0
3|33|5.0|1.0
3|418|3.0|5.0
3|499|5.0|1.0
3|197|4.0|0.8
3|367|4.0|1.0
3|650|5.0|1.0
3|504|3.0|1.0
3|694|3.0|1.0
3|1393|5.0|1.0
3|427|5.0|3.0
3|794|5.0|2.0
3|1400|5.0|1.0
3|1023|5.0|1.0
3|204|3.0|1.0
3|1403|5.0|3.0
3|410|5.0|2.0
3|920|4.0|1.0
3|1452|5.0|0.3
3|1455|5.0|0.3
3|1466|3.0|1.0
3|1477|4.0|1.0
3|1507|1.0|1.0
3|1304|2.0|1.0
3|1520|4.0|1.0
3|1187|5.0|1.0
3|1534|5.0|1.0
3|1260|5.0|1.0
3|1569|5.0|0.3
3|1107|3.0|0.8
3|1603|4.0|4.0
4|1027|5.0|0.1
4|70|5.0|3.0
4|631|5.0|1.0
4|1625|5.0|3.0
4|537|3.0|1.0
4|170|5.0|4.0
4|902|5.0|3.0
4|584|5.0|3.0
4|367|5.0|1.0
4|1303|3.0|2.0
4|663|5.0|2.0
4|937|5.0|0.8
4|93|5.0|3.0
4|970|5.0|1.0
4|872|5.0|1.0
4|1659|5.0|3.0
4|1663|5.0|2.0
4|909|4.0|3.0
4|1037|5.0|2.0
4|794|5.0|1.0
4|630|3.0|2.0
4|694|5.0|1.0
4|959|5.0|2.0
4|920|5.0|0.6
4|644|2.0|2.0
4|1702|5.0|4.0
4|776|5.0|2.0
4|1070|4.0|2.0
4|1304|4.0|1.0
4|1023|5.0|2.0
4|429|4.0|2.0
4|1725|4.0|4.0
4|1728|5.0|3.0
4|1730|4.0|2.0
4|1455|4.0|0.2
4|1477|5.0|1.0
4|1742|4.0|2.0
4|1100|4.0|1.0
4|991|5.0|0.2
4|1758|3.0|3.0
4|1783|4.0|2.0
4|1187|5.0|1.0
4|1810|5.0|5.0
4|1811|4.0|1.0
4|1534|5.0|1.0
4|1330|4.0|1.0
4|1357|4.0|2.0
4|695|5.0|2.0
4|1008|5.0|2.0
4|1260|4.0|1.0
4|1899|5.0|1.0
4|1002|2.0|0.5
5|1955|5.0|0.6
5|575|3.0|4.0
5|47|5.0|0.9
5|1965|5.0|1.0
5|490|5.0|2.0
5|272|5.0|1.0
5|70|5.0|3.0
5|762|2.0|3.0
5|305|5.0|2.0
5|1107|5.0|1.0
5|920|5.0|1.0
5|93|4.0|4.0
5|2034|5.0|3.0
5|939|1.0|3.0
5|2053|2.0|3.0
5|1725|3.0|6.0
5|2084|5.0|2.0
5|537|3.0|5.0
5|1070|4.0|2.0
5|48|5.0|2.0
5|1108|5.0|2.0
5|630|3.0|2.0
5|776|5.0|3.0
5|959|5.0|1.0
5|1187|5.0|0.2
5|1303|3.0|2.0
5|1207|3.0|2.0
5|2305|5.0|2.0
5|1520|5.0|3.0
5|372|4.0|1.0
5|429|5.0|3.0
5|1520|5.0|2.0
5|902|5.0|3.0
5|2446|3.0|3.0
5|1534|5.0|1.0
5|2487|1.0|3.0
5|1008|5.0|2.0
5|217|5.0|0.1
5|2518|4.0|1.0
5|2567|5.0|3.0
5|1393|5.0|1.0
6|272|5.0|1.0
6|575|3.0|4.0
6|2586|4.0|1.0
6|663|5.0|2.0
6|443|5.0|3.0
6|2446|2.0|3.0
6|1477|5.0|1.0
6|1955|5.0|0.9
6|920|3.0|1.0
7|2658|5.0|0.7
7|2662|5.0|0.7
7|937|5.0|0.9
7|631|5.0|1.0
7|45|5.0|1.0
7|2674|5.0|1.0
7|1758|5.0|0.2
7|2689|4.0|3.0
7|2695|5.0|1.0
7|991|5.0|0.3
7|1725|3.0|6.0
