u|v|s
312.0|6988.0|0.03112378550222581
312.0|7227.0|0.0
312.0|426.0|0.0
312.0|5570.0|0.0
1989.0|772.0|0.0
1989.0|2671.0|0.0
1989.0|7937.0|0.0
1989.0|4052.0|0.0
1989.0|8740.0|0.0
1989.0|4311.0|0.0
1989.0|575.0|0.0
1989.0|6513.0|0.0
1989.0|7810.0|0.0
1989.0|78.0|0.0
1989.0|7980.0|0.0
1989.0|1579.0|0.0
1989.0|8584.0|0.0
350.0|2157.0|0.0
350.0|2923.0|0.0
350.0|1992.0|0.0
350.0|5907.0|0.0
350.0|5724.0|0.0
350.0|3001.0|0.0
350.0|2035.0|0.0
350.0|3987.0|0.0
350.0|5635.0|0.0
350.0|3669.0|0.0
350.0|5924.0|1.88664320382929
350.0|1066.0|0.0
350.0|630.0|0.0
350.0|927.0|0.0
350.0|375.0|0.0
350.0|2899.0|0.0
350.0|6190.0|0.0
350.0|1056.0|0.0
350.0|3619.0|0.0
350.0|709.0|0.0
350.0|5494.0|0.0
350.0|7329.0|0.0
350.0|6940.0|0.0
350.0|7742.0|0.0
350.0|6040.0|0.0
350.0|7881.0|0.0
350.0|579.0|0.0
350.0|6320.0|0.0
350.0|5777.0|0.0
350.0|1.0|0.0
350.0|4010.0|0.0
350.0|5736.0|0.0
350.0|5288.0|0.0
350.0|1976.0|0.0
350.0|945.0|0.0
350.0|6620.0|0.0
350.0|5656.0|0.0
865.0|8052.0|0.0
865.0|7195.0|0.002221059081100194
865.0|2182.0|0.0
865.0|39.0|0.0
865.0|3941.0|0.0
865.0|2014.0|0.0
865.0|1976.0|0.0
865.0|4646.0|0.0
4495.0|3625.0|0.0
4495.0|6642.0|0.0
4495.0|6732.0|0.0
4495.0|8369.0|0.0
4495.0|8282.0|0.0
4495.0|7190.0|0.4478813600316812
4495.0|3492.0|0.0
4495.0|8344.0|0.0
4495.0|8358.0|0.0
4495.0|8611.0|0.0
4495.0|8387.0|0.0
4495.0|6274.0|0.0
4495.0|8677.0|-0.8343249648928692
4495.0|8310.0|0.0
631.0|5967.0|0.0
631.0|3146.0|0.0
631.0|2460.0|-0.28983077329341167
631.0|3090.0|0.0
631.0|97.0|0.0
569.0|4753.0|0.0
569.0|2794.0|0.0
569.0|310.0|0.0
569.0|7316.0|0.0
569.0|1603.0|0.0
569.0|4311.0|0.0
569.0|253.0|0.0
569.0|8676.0|0.0
569.0|295.0|0.0
569.0|7264.0|0.0
569.0|2761.0|0.0
569.0|674.0|0.0
569.0|1729.0|0.47808624843146236
569.0|6923.0|0.0
569.0|3119.0|0.0
3534.0|6576.0|0.0
3534.0|6224.0|0.0
3534.0|1159.0|0.0
3534.0|5369.0|0.0
3534.0|5517.0|0.0
3534.0|473.0|0.0
3534.0|1260.0|0.0
3534.0|715.0|0.0
3534.0|4448.0|0.0
3534.0|7256.0|0.0
3534.0|7065.0|0.0
3534.0|5394.0|0.0
3534.0|812.0|0.0
3534.0|4144.0|0.0
3534.0|6056.0|0.0
3534.0|7826.0|0.0
3534.0|7432.0|0.0
3534.0|1232.0|0.0
3534.0|3995.0|0.0
3534.0|4236.0|0.0
3534.0|1902.0|0.0
3534.0|251.0|0.0
3534.0|1843.0|0.0
3534.0|1671.0|0.0
3534.0|1129.0|0.0
3534.0|3183.0|0.0
3534.0|1269.0|0.0
3534.0|1938.0|0.0
3534.0|4605.0|0.0
3534.0|7483.0|0.0
3534.0|8138.0|0.0
3534.0|3101.0|0.0
3534.0|8563.0|0.0
3534.0|7724.0|0.0
3534.0|4455.0|0.0
3534.0|2421.0|0.0
3534.0|6601.0|0.0
3534.0|1700.0|0.0
3534.0|4633.0|0.0
3534.0|404.0|0.0
3534.0|1681.0|0.0
3534.0|2975.0|0.0
3534.0|161.0|0.0
3534.0|101.0|0.0
3534.0|3412.0|0.0
3534.0|6530.0|0.0
3534.0|7435.0|0.0
3534.0|5867.0|0.0
3534.0|3294.0|0.0
3534.0|2667.0|0.0
3534.0|7225.0|0.0
3534.0|1685.0|0.0
3534.0|6020.0|0.0
3534.0|357.0|0.0
3534.0|492.0|0.0
3534.0|5885.0|0.0
3534.0|3202.0|0.0
3534.0|3364.0|0.0
3534.0|2984.0|0.0
3534.0|7228.0|0.0
3534.0|860.0|0.0
3534.0|1942.0|0.0
3534.0|5622.0|0.0
3534.0|7593.0|0.0
3534.0|7327.0|0.0
3534.0|5604.0|0.0
3534.0|5976.0|0.0
3534.0|3833.0|0.0
3534.0|133.0|0.0
3534.0|3044.0|0.0
3534.0|3281.0|0.0
3534.0|2260.0|0.0
3534.0|2671.0|0.0
3534.0|139.0|0.0
3534.0|3471.0|0.0
3534.0|5827.0|0.0
3534.0|3615.0|0.0
3534.0|7173.0|0.0
3534.0|1226.0|0.0
3534.0|1442.0|0.0
3534.0|188.0|0.0
3534.0|7601.0|0.0
3534.0|5891.0|0.0
3534.0|2322.0|0.0
3534.0|3079.0|0.0
3534.0|2767.0|0.0
3534.0|1094.0|0.0
3534.0|4414.0|0.0
3534.0|1748.0|0.0
3534.0|2612.0|0.0
3534.0|3245.0|0.0
3534.0|4597.0|0.0
3534.0|2117.0|0.0
3534.0|46.0|0.0
3534.0|3572.0|0.0
3534.0|1485.0|0.0
3534.0|2981.0|0.0
3534.0|158.0|0.0
