venueid|userid|score|time
39409|312|5|1.0
186714|312|4|1.0
2166|312|4|1.0
170009|312|4|2.0
48159|312|4|0.7
206075|312|4|2.0
126334|312|4|1.0
39409|312|5|1.0
197503|312|5|0.2
107081|312|5|0.7
49751|312|4|3.0
206060|312|4|2.0
105968|312|4|2.0
133760|312|4|1.0
2112|312|4|0.7
206034|312|4|2.0
206134|312|4|3.0
82852|312|5|1.0
204849|312|5|1.0
205892|312|4|1.0
305|312|5|1.0
2442|312|4|3.0
205884|312|4|1.0
14510|312|5|3.0
206147|312|5|3.0
106927|312|4|2.0
61191|312|5|1.0
19636|312|5|2.0
35794|312|4|1.0
133423|312|4|2.0
205887|312|5|1.0
447|312|4|2.0
206082|312|4|2.0
66971|312|5|3.0
20882|312|4|2.0
4635|312|5|0.4
21783|312|4|1.0
206083|312|4|2.0
205965|312|5|2.0
24737|312|5|2.0
288|312|5|1.0
206009|312|4|2.0
72696|312|4|2.0
85155|312|4|1.0
2351|312|5|1.0
4857|312|5|1.0
205934|312|5|1.0
34062|312|4|3.0
206084|312|4|2.0
56546|312|4|2.0
70390|312|5|1.0
29889|312|5|2.0
206026|312|4|2.0
83381|312|5|1.0
74379|312|4|3.0
113356|312|5|1.0
125096|312|4|3.0
206152|312|4|3.0
150611|312|3|3.0
205975|312|4|2.0
10355|312|4|0.2
113702|312|4|0.4
197562|312|4|2.0
205831|312|4|0.2
167808|312|4|0.6
205972|312|5|2.0
206073|312|4|2.0
125096|312|4|3.0
19646|312|5|3.0
8648|312|5|3.0
205879|312|5|1.0
37542|312|4|2.0
137375|312|5|2.0
205834|312|5|0.3
114271|312|4|2.0
39401|312|5|2.0
46728|312|4|3.0
28788|312|4|1.0
2166|312|4|1.0
91954|312|5|3.0
10485|312|5|0.3
66748|312|4|1.0
83379|312|5|3.0
205862|312|4|0.7
25384|312|5|2.0
206065|312|4|2.0
20848|312|4|1.0
42017|312|4|0.8
246|312|5|1.0
205504|312|5|3.0
1187|312|4|2.0
205896|312|4|1.0
10188|312|4|2.0
205831|312|4|0.2
200159|312|5|1.0
8802|312|4|2.0
26506|312|4|2.0
205828|312|4|0.1
1051|312|5|2.0
4200|312|4|2.0
205912|312|4|1.0
151058|312|4|3.0
58813|312|4|2.0
48366|312|5|3.0
38145|312|5|1.0
110372|312|5|2.0
85288|312|4|1.0
20541|312|4|3.0
9769|312|4|1.0
2691|312|4|0.2
41973|312|4|1.0
52776|312|4|1.0
206083|312|4|2.0
37514|312|4|0.4
46632|312|4|2.0
206157|312|5|3.0
798|312|4|0.4
197503|312|5|0.2
205898|312|5|1.0
52117|312|5|2.0
56546|312|4|2.0
23578|312|5|3.0
93078|312|4|2.0
205982|312|4|2.0
10268|312|4|2.0
205925|312|5|1.0
146361|312|4|2.0
1216|312|4|1.0
645|312|4|3.0
205910|312|4|1.0
205894|312|4|1.0
21617|312|4|0.6
69220|312|4|1.0
98695|312|4|2.0
137513|312|4|2.0
29160|312|5|3.0
61903|312|5|2.0
12745|312|4|3.0
206140|312|4|3.0
798|312|4|0.4
206007|312|4|2.0
4247|312|5|0.2
83381|312|5|1.0
14488|312|3|1.0
205900|312|4|1.0
3526|312|4|1.0
2351|312|5|1.0
48170|312|5|1.0
205887|312|5|1.0
206156|312|4|3.0
15976|312|4|3.0
53293|312|5|3.0
170009|312|4|2.0
51385|312|4|1.0
14860|312|4|2.0
26059|312|5|0.3
4525|312|4|1.0
14372|312|4|2.0
24609|312|4|3.0
65906|312|5|3.0
205284|312|4|3.0
4763|312|4|3.0
71595|312|5|1.0
14469|312|4|0.1
167040|312|5|1.0
